[16/06/2022 21:28:59] Player: Trinitty | Reward: 1x removedor de frags
[16/06/2022 21:29:15] Player: Trinitty | Reward: 1x refinamento excelente
[16/08/2022 19:15:21] Player: King | Reward: 5x [+500%] EXP Food
[20/08/2022 18:11:41] Player: Kisame | Reward: 1x [+300%] EXP Food
[21/08/2022 14:49:36] Player: Itachi | Reward: 1x refinamento excelente
[22/08/2022 00:22:16] Player: Sidoka | Reward: 1x refinamento excelente
[22/08/2022 00:24:23] Player: Sidoka | Reward: 1x stamina potion
[22/08/2022 00:24:36] Player: Sidoka | Reward: 5x [+300%] EXP Food
[22/08/2022 00:25:42] Player: Sidoka | Reward: 1x [+1000%] EXP Potion
[22/08/2022 07:28:30] Player: Master Yi | Reward: 5x refinamento excelente
[22/08/2022 11:09:36] Player: Esquilo | Reward: 1x caixa da sorte
[22/08/2022 12:12:48] Player: Pies Na Baby | Reward: 15x critical feather
[22/08/2022 15:41:20] Player: Itachi | Reward: 1x removedor de frags
[22/08/2022 16:27:14] Player: Lilith Milly | Reward: 1x refinamento excelente
[22/08/2022 20:44:46] Player: [ADM] King | Reward: 1x removedor de frags
[22/08/2022 20:45:08] Player: Tri | Reward: 5x [+600%] EXP Egg
[22/08/2022 20:46:34] Player: Tri | Reward: 1x removedor de frags
[22/08/2022 20:46:48] Player: Tri | Reward: 1x removedor de frags
[22/08/2022 20:47:11] Player: Tri | Reward: 5x [+600%] EXP Egg
[22/08/2022 20:47:24] Player: Tri | Reward: 15x critical feather
[22/08/2022 20:47:42] Player: Tri | Reward: 5x [+300%] EXP Food
[22/08/2022 23:21:41] Player: Lokzz | Reward: 5x [+500%] EXP Food
[23/08/2022 07:12:50] Player: Morgahar | Reward: 1x removedor de frags
[23/08/2022 07:13:02] Player: Morgahar | Reward: 1x caixa da sorte
[23/08/2022 07:16:14] Player: Master Yi | Reward: 15x dodge stone
[23/08/2022 07:16:25] Player: Master Yi | Reward: 1x caixa da sorte
[23/08/2022 12:02:18] Player: Pies Na Baby | Reward: 15x dodge stone
[23/08/2022 12:42:36] Player: Itachi | Reward: 5x [+500%] EXP Food
[23/08/2022 12:42:49] Player: Itachi | Reward: 15x dodge stone
[23/08/2022 17:42:51] Player: Veronez | Reward: 1x stamina infinita
[23/08/2022 17:43:02] Player: Veronez | Reward: 1x caixa da sorte
[23/08/2022 17:43:12] Player: Veronez | Reward: 1x stamina infinita
[23/08/2022 17:43:22] Player: Veronez | Reward: 1x stamina potion
[23/08/2022 17:43:35] Player: Veronez | Reward: 15x critical feather
[23/08/2022 17:43:46] Player: Veronez | Reward: 15x critical feather
[23/08/2022 17:55:58] Player: Veronez | Reward: 5x [+500%] EXP Food
[23/08/2022 17:56:17] Player: Veronez | Reward: 5x [+300%] EXP Food
[23/08/2022 17:56:33] Player: Veronez | Reward: 15x critical feather
[23/08/2022 17:56:43] Player: Veronez | Reward: 15x critical feather
[23/08/2022 17:56:55] Player: Veronez | Reward: 1x stamina potion
[23/08/2022 17:57:06] Player: Veronez | Reward: 1x removedor de frags
[23/08/2022 17:57:16] Player: Veronez | Reward: 1x refinamento excelente
[23/08/2022 17:57:26] Player: Veronez | Reward: 15x critical feather
[23/08/2022 18:11:22] Player: Lord Kelvin | Reward: 15x critical feather
[23/08/2022 18:11:36] Player: Lord Kelvin | Reward: 1x removedor de frags
[23/08/2022 18:12:13] Player: Lord Kelvin | Reward: 15x dodge stone
[23/08/2022 18:55:06] Player: [ADM] King | Reward: 15x critical feather
[23/08/2022 18:55:24] Player: Morgahar | Reward: 15x dodge stone
[23/08/2022 18:55:40] Player: Morgahar | Reward: 15x critical feather
[23/08/2022 18:55:51] Player: Morgahar | Reward: 5x [+500%] EXP Food
[23/08/2022 18:56:02] Player: Morgahar | Reward: 5x [+300%] EXP Food
[23/08/2022 18:56:13] Player: Morgahar | Reward: 15x dodge stone
[23/08/2022 18:56:23] Player: Morgahar | Reward: 5x [+600%] EXP Egg
[23/08/2022 18:56:33] Player: Morgahar | Reward: 1x refinamento excelente
