[20/08/2022 23:25:46] Player: Kisame | Reward: [+1000%] EXP Potion
[21/08/2022 11:25:47] Player: Sidoka | Reward: [+800%] EXP Food
[21/08/2022 12:47:55] Player: Meto Apicarreta | Reward: removedor de frags
[21/08/2022 12:48:00] Player: Meto Apicarreta | Reward: [+1000%] EXP Potion
[21/08/2022 12:48:00] Player: Meto Apicarreta | Reward: removedor de frags
[21/08/2022 16:49:14] Player: Morgahar | Reward: real ring
[21/08/2022 16:52:00] Player: [ADM] King | Reward: stamina potion
[21/08/2022 16:52:04] Player: [ADM] King | Reward: removedor de frags
[21/08/2022 16:52:07] Player: [ADM] King | Reward: [+800%] EXP Food
[21/08/2022 16:52:10] Player: [ADM] King | Reward: real ring
[21/08/2022 16:52:54] Player: [ADM] King | Reward: removedor de frags
[21/08/2022 16:52:56] Player: [ADM] King | Reward: stamina potion
[21/08/2022 16:53:02] Player: [ADM] King | Reward: addon doll
[21/08/2022 16:53:06] Player: [ADM] King | Reward: addon doll
[21/08/2022 16:53:07] Player: [ADM] King | Reward: stamina potion
[21/08/2022 16:53:48] Player: [ADM] King | Reward: addon doll
[21/08/2022 17:41:01] Player: Madara Minerador | Reward: stamina potion
[21/08/2022 17:41:21] Player: Pain Mineramto | Reward: [+800%] EXP Food
[21/08/2022 18:11:08] Player: Morgahar | Reward: stamina potion
[21/08/2022 18:11:11] Player: Morgahar | Reward: [+800%] EXP Food
[21/08/2022 23:30:10] Player: Madara Minerador | Reward: [+1000%] EXP Potion
[22/08/2022 01:47:21] Player: Sidoka | Reward: stamina potion
[22/08/2022 01:47:22] Player: Sidoka | Reward: real ring
[22/08/2022 07:55:15] Player: Morgahar | Reward: [+800%] EXP Food
[22/08/2022 07:55:19] Player: Morgahar | Reward: removedor de frags
[22/08/2022 07:55:22] Player: Morgahar | Reward: [+800%] EXP Food
[22/08/2022 07:55:40] Player: Morgahar | Reward: removedor de frags
[22/08/2022 07:55:44] Player: Morgahar | Reward: addon doll
