[21/08/2022 12:47:59] Player: Meto Apicarreta | Reward: king warrior helmet
[21/08/2022 16:52:58] Player: [ADM] King | Reward: king warrior armor
[21/08/2022 18:10:56] Player: Morgahar | Reward: king mage hat
[21/08/2022 19:06:53] Player: Madara Minerador | Reward: king ranger amulet
[22/08/2022 07:55:25] Player: Morgahar | Reward: king mage amulet
[22/08/2022 07:56:13] Player: Morgahar | Reward: king ranger shield
[22/08/2022 07:56:32] Player: Morgahar | Reward: king mage hat
[22/08/2022 07:56:47] Player: Morgahar | Reward: king warrior legs
[22/08/2022 07:56:48] Player: Morgahar | Reward: king mage spellbook
[22/08/2022 07:56:54] Player: Morgahar | Reward: king mage armor
[22/08/2022 13:10:27] Player: Pain Mineramto | Reward: king ranger helmet
[22/08/2022 15:33:49] Player: Pain Mineramto | Reward: king mage hat
[22/08/2022 15:38:22] Player: Madara Minerador | Reward: king mage hat
[22/08/2022 19:38:54] Player: Real Stylexx | Reward: king ranger legs
[22/08/2022 22:21:44] Player: Madara Minerador | Reward: king mage legs
[23/08/2022 09:10:53] Player: Doskys | Reward: king warrior shield
[23/08/2022 09:24:52] Player: Morningstar | Reward: king mage boots
[23/08/2022 09:25:10] Player: Morningstar | Reward: king ranger shield
[23/08/2022 11:15:37] Player: Lokzz | Reward: king mage hat
[23/08/2022 12:34:48] Player: Elemesmo | Reward: king warrior amulet
[23/08/2022 14:39:12] Player: Bitcoin | Reward: king warrior shield
[23/08/2022 14:39:50] Player: Lokzz | Reward: king warrior boots
[23/08/2022 20:04:58] Player: Real Stylexx | Reward: king mage legs
[23/08/2022 21:51:58] Player: Tchaap | Reward: king mage boots
[24/08/2022 01:38:09] Player: Real Stylexx | Reward: king mage boots
[24/08/2022 15:28:05] Player: Real Stylexx | Reward: king ranger legs
[24/08/2022 15:28:13] Player: Real Stylexx | Reward: king mage boots
[24/08/2022 15:28:26] Player: Real Stylexx | Reward: king warrior amulet
[24/08/2022 15:28:30] Player: Real Stylexx | Reward: king mage legs
[24/08/2022 15:28:55] Player: Real Stylexx | Reward: king ranger shield
[24/08/2022 15:29:01] Player: Real Stylexx | Reward: king mage spellbook
[24/08/2022 15:29:14] Player: Real Stylexx | Reward: king warrior armor
[24/08/2022 15:29:17] Player: Real Stylexx | Reward: king ranger armor
[24/08/2022 15:29:20] Player: Real Stylexx | Reward: king warrior legs
[24/08/2022 18:56:39] Player: Pintudinho | Reward: king ranger amulet
[24/08/2022 19:26:18] Player: Real Stylexx | Reward: king ranger armor
[24/08/2022 19:48:18] Player: Pintudinho | Reward: king warrior amulet
[25/08/2022 19:36:41] Player: Real Stylexx | Reward: king mage hat
